Date,asset,year,strategy,horizon,threshold,signal,p_up,gross_asset_ret,turnover_asset,net_asset_ret,position_asset,daily_ret_clp,price_usd,usdclp,price_clp
2020-12-28,QQQ,2020,MOMENTUM,1,,0.0,,0.0,0.0,0.0,0.0,0.011069966103646856,302.403564453125,714.2999877929688,216006.86239741743
2020-12-28,ECH,2020,LOGIT,5,0.6,1.0,0.6424514097683255,0.0,1.0,-0.0015,0.0,0.01007172374057208,23.899824142456055,714.2999877929688,17071.64409321046
2020-12-28,CPER,2020,HGB,20,0.52,0.0,0.42988940740864295,0.0,0.0,0.0,0.0,0.00916709588127218,22.190000534057617,714.2999877929688,15850.317110603326
2020-12-29,ECH,2020,LOGIT,5,0.6,1.0,0.6441324768767708,-0.003587782250337068,0.0,-0.003587782250337068,1.0,-0.003587782250337068,23.907793045043945,711.5,17010.394751548767
2020-12-29,CPER,2020,HGB,20,0.52,1.0,0.701622816590416,-0.0,0.0,-0.0,0.0,-0.01334657438245579,21.979999542236328,711.5,15638.769674301147
2020-12-29,QQQ,2020,MOMENTUM,1,,0.0,,-0.0,0.0,-0.0,0.0,-0.0030279804717978642,302.6743469238281,711.5,215352.7978363037
2020-12-30,CPER,2020,HGB,20,0.52,1.0,0.675905602868481,0.0,1.0,-0.0015,0.0,0.003407327310442021,21.950000762939453,714.9000244140625,15692.056081314106
2020-12-30,QQQ,2020,MOMENTUM,1,,0.0,,0.0,0.0,0.0,0.0,0.004810684406898025,302.6839904785156,714.9000244140625,216388.79218283668
2020-12-30,ECH,2020,LOGIT,5,0.6,1.0,0.64259120510154,0.017836353062332888,0.0,0.017836353062332888,1.0,0.017836353062332888,24.218488693237305,714.9000244140625,17313.798158067046
2020-12-31,ECH,2020,LOGIT,5,0.6,0.0,0.5980855138689428,-0.011671391901871386,0.0,-0.011671391901871386,1.0,-0.011671391901871386,24.067119598388672,711.0,17111.722034454346
2020-12-31,CPER,2020,HGB,20,0.52,1.0,0.6792716668065795,-0.015423498713612038,0.0,-0.015423498713612038,1.0,-0.015423498713612038,21.729999542236328,711.0,15450.02967453003
2020-12-31,QQQ,2020,MOMENTUM,1,,0.0,,-0.0,0.0,-0.0,0.0,-0.0030086761597071243,303.4286193847656,711.0,215737.74838256836
2021-01-04,ECH,2021,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.02074063304825069,24.600887298583984,710.0,17466.62998199463
2021-01-04,CPER,2021,HGB,20,0.6,1.0,0.6814273330643342,0.0,0.0,0.0,0.0,0.012839520678811889,22.040000915527344,710.0,15648.400650024414
2021-01-04,QQQ,2021,MOMENTUM,1,,0.0,,-0.0,0.0,-0.0,0.0,-0.015506247249319816,299.1443176269531,710.0,212392.46551513672
2021-01-05,ECH,2021,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.027220122495051458,25.49314308166504,703.7999877929688,17942.07378968026
2021-01-05,CPER,2021,HGB,20,0.6,0.0,0.5914063024076738,0.0,1.0,-0.0015,0.0,0.01690380438588912,22.610000610351562,703.7999877929688,15912.918153564446
2021-01-05,QQQ,2021,MOMENTUM,1,,0.0,,-0.0,0.0,-0.0,0.0,-0.000560165339674179,301.61053466796875,703.7999877929688,212273.49061754718
2021-01-06,CPER,2021,HGB,20,0.6,1.0,0.6718801595667635,-0.009313159636257007,1.0,-0.010813159636257006,1.0,-0.009313159636257007,22.670000076293945,695.4000244140625,15764.718606521608
2021-01-06,ECH,2021,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.010391082676654229,25.532981872558594,695.4000244140625,17755.63621754106
2021-01-06,QQQ,2021,MOMENTUM,1,,0.0,,-0.0,0.0,-0.0,0.0,-0.025622558433792464,297.4324035644531,695.4000244140625,206834.500700254
2021-01-07,QQQ,2021,MOMENTUM,1,,0.0,,0.0,0.0,0.0,0.0,0.025076097388924357,304.6280212402344,696.0,212021.10278320312
2021-01-07,ECH,2021,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.0142906436015946,25.875539779663086,696.0,18009.375686645508
2021-01-07,CPER,2021,HGB,20,0.6,1.0,0.7032484648111058,0.0,1.0,-0.0015,0.0,0.013666007091445165,22.959999084472656,696.0,15980.159362792969
2021-01-08,QQQ,2021,MOMENTUM,1,,1.0,,0.0,0.0,0.0,0.0,0.03657821909920833,308.5447998046875,712.2999877929688,219776.4571344629
2021-01-08,ECH,2021,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.023734781138606387,25.88351058959961,712.2999877929688,18436.82427701098
2021-01-08,CPER,2021,HGB,20,0.6,0.0,0.5490637156121692,0.01896218842555686,0.0,0.01896218842555686,1.0,0.01896218842555686,22.860000610351562,712.2999877929688,16283.178155700676
2021-01-11,QQQ,2021,MOMENTUM,1,,0.0,,-0.0,1.0,-0.0015,0.0,-0.02686009343392759,304.08642578125,703.3304443359375,213873.24096125364
2021-01-11,ECH,2021,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.026876162338093756,25.50908088684082,703.3304443359375,17941.313194743125
2021-01-11,CPER,2021,HGB,20,0.6,1.0,0.6853462357369415,-0.05060285549153842,1.0,-0.052102855491538425,1.0,-0.05060285549153842,21.979999542236328,703.3304443359375,15459.20284454478
2021-01-12,QQQ,2021,MOMENTUM,1,,1.0,,0.020653476649795,1.0,0.019153476649794998,1.0,0.020653476649795,303.6028747558594,719.0,218290.4669494629
2021-01-12,ECH,2021,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.0270677944795652,25.62857437133789,719.0,18426.944972991943
2021-01-12,CPER,2021,HGB,20,0.6,0.0,0.5691164873355552,0.0,1.0,-0.0015,0.0,0.04646404880499344,22.5,719.0,16177.5
2021-01-13,CPER,2021,HGB,20,0.6,0.0,0.5578667704417879,-0.002650883532697823,1.0,-0.004150883532697823,1.0,-0.002650883532697823,22.270000457763672,724.5,16134.61533164978
2021-01-13,QQQ,2021,MOMENTUM,1,,1.0,,0.0,1.0,-0.0015,0.0,0.01445417608537336,305.6531066894531,724.5,221445.6757965088
2021-01-13,ECH,2021,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.007336496462756692,25.62061309814453,724.5,18562.134189605713
2021-01-14,QQQ,2021,MOMENTUM,1,,1.0,,0.012225632118274765,0.0,0.012225632118274765,1.0,0.012225632118274765,304.0187072753906,737.2999877929688,224152.98916297965
2021-01-14,CPER,2021,HGB,20,0.6,0.0,0.4292511486790376,0.0,0.0,0.0,0.0,0.03640301329953011,22.68000030517578,737.2999877929688,16721.96394815063
2021-01-14,ECH,2021,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.033489217027421914,26.01894187927246,737.2999877929688,19183.76552997355
2021-01-15,CPER,2021,HGB,20,0.6,1.0,0.6747237880409697,-0.0,0.0,-0.0,0.0,-0.03442921633511331,22.239999771118164,726.0,16146.239833831787
