Date,asset,year,strategy,horizon,threshold,signal,p_up,position_asset_level,turnover_asset_level,daily_ret_clp,strategy_ret_asset_level,price_usd,usdclp,price_clp
2018-11-15,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0008753746540604013,-0.0008753746540604013,17.270000457763672,682.0,11778.140312194824
2018-11-16,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.016368260803756418,-0.016368260803756418,159.30552673339844,673.2000122070312,107244.48254157137
2018-11-16,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.004073428635077758,-0.004073428635077758,33.439453125,673.2000122070312,22511.44025194645
2018-11-16,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.0002428143452546383,0.0002428143452546383,17.5,673.2000122070312,11781.000213623047
2018-11-19,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.03707616195767549,-0.03707616195767549,154.13174438476562,670.0,103268.26873779297
2018-11-19,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.005322159904671997,-0.005322159904671997,17.489999771118164,670.0,11718.29984664917
2018-11-19,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.009504553784200342,-0.009504553784200342,33.27981948852539,670.0,22297.47905731201
2018-11-20,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.01618900148278546,-0.01618900148278546,17.229999542236328,669.0999755859375,11528.592273056041
2018-11-20,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.01921422393665151,-0.01921422393665151,151.37356567382812,669.0999755859375,101284.0490967147
2018-11-20,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.017310874319140024,-0.017310874319140024,32.74770736694336,669.0999755859375,21911.490199717227
2018-11-21,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.015246797198385176,0.015246797198385176,33.142982482910156,671.2000122070312,22245.57024710672
2018-11-21,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.017693715610762162,0.017693715610762162,17.479999542236328,671.2000122070312,11732.575906127924
2018-11-21,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.010764760362876657,0.010764760362876657,152.52435302734375,671.2000122070312,102374.34761382267
2018-11-23,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.012886290451839977,-0.012886290451839977,17.34000015258789,667.9000244140625,11581.3865252533
2018-11-23,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0121140989841666,-0.0121140989841666,151.42112731933594,667.9000244140625,101134.17463338934
2018-11-23,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.017925471662417092,-0.017925471662417092,32.70969772338867,667.9000244140625,21846.8079080279
2018-11-26,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.03276469831779738,0.03276469831779738,154.9210968017578,674.2000122070312,104447.80535487179
2018-11-26,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.003028944450915727,0.003028944450915727,17.229999542236328,674.2000122070312,11616.465901702875
2018-11-26,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.00943253116137499,0.00943253116137499,32.70969772338867,674.2000122070312,22052.878604396945
2018-11-27,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.006502050504615164,0.006502050504615164,155.44422912597656,676.2999877929688,105126.93026038539
2018-11-27,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.0035808389843512423,0.0035808389843512423,32.72489547729492,676.2999877929688,22131.846411820734
2018-11-27,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.0073646861732844515,-0.0073646861732844515,17.049999237060547,676.2999877929688,11530.914275894174
2018-11-28,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.02368303068615485,0.02368303068615485,17.489999771118164,674.9000244140625,11804.001272529596
2018-11-28,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.007434144885996918,0.007434144885996918,33.036563873291016,674.9000244140625,22296.37776464084
2018-11-28,QQQ,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.030046108728097876,0.030046108728097876,160.4468536376953,674.9000244140625,108285.58543724008
2018-11-29,ECH,2018,BUYHOLD,5,,1.0,,1.0,0.0,0.0013288970037992343,0.0013288970037992343,33.1049919128418,674.4000244140625,22326.00735424785
2018-11-29,CPER,2018,BUYHOLD,5,,1.0,,1.0,0.0,-0.006454189374535013,-0.006454189374535013,17.389999389648438,674.4000244140625,11727.816012939438
